id,type,audio,question,num_ans,ans1,ans2,ans3,ans4,ans_correct,module,pool,images,targetLetter
phon-1,audio-choice,"/assets/audioTestVowel/A.mp3|/assets/audioTestVowel/A.mp3","Hai âm này có giống nhau không?",2,"Giống nhau","Khác nhau",,,1,"Nhận thức âm vị",phonological-awareness,,
phon-2,audio-choice,"/assets/audioTestVowel/A.mp3|/assets/audioTestVowel/B.mp3","Hai âm này có giống nhau không?",2,"Giống nhau","Khác nhau",,,2,"Nhận thức âm vị",phonological-awareness,,
phon-3,audio-choice,"/assets/audioTestVowel/B.mp3|/assets/audioTestVowel/B.mp3","Hai âm này có giống nhau không?",2,"Giống nhau","Khác nhau",,,1,"Nhận thức âm vị",phonological-awareness,,
phon-4,audio-choice,"/assets/audioTestVowel/B.mp3|/assets/audioTestVowel/A.mp3","Hai âm này có giống nhau không?",2,"Giống nhau","Khác nhau",,,2,"Nhận thức âm vị",phonological-awareness,,
phon-5,audio-choice,"/assets/audioTestVowel/M.mp3|/assets/audioTestVowel/M.mp3","Hai âm này có giống nhau không?",2,"Giống nhau","Khác nhau",,,1,"Nhận thức âm vị",phonological-awareness,,
phon-6,audio-choice,"/assets/audioTestVowel/M.mp3|/assets/audioTestVowel/N.mp3","Hai âm này có giống nhau không?",2,"Giống nhau","Khác nhau",,,2,"Nhận thức âm vị",phonological-awareness,,
phon-7,audio-choice,"/assets/audioTestVowel/N.mp3|/assets/audioTestVowel/N.mp3","Hai âm này có giống nhau không?",2,"Giống nhau","Khác nhau",,,1,"Nhận thức âm vị",phonological-awareness,,
phon-8,audio-choice,"/assets/audioTestVowel/N.mp3|/assets/audioTestVowel/M.mp3","Hai âm này có giống nhau không?",2,"Giống nhau","Khác nhau",,,2,"Nhận thức âm vị",phonological-awareness,,
dec-1,text-choice,"/assets/audioTestVowel/D.mp3","Chọn chữ cái đúng theo âm thanh:",2,D,Đ,,,1,"Nhận diện chữ & giải mã",decoding,,
dec-2,text-choice,"/assets/audioTestVowel/Đ.mp3","Chọn chữ cái đúng theo âm thanh:",2,D,Đ,,,2,"Nhận diện chữ & giải mã",decoding,,
dec-3,text-choice,"/assets/audioTestVowel/ca.mp3","Chọn từ đúng theo âm thanh:",4,ca,cá,cà,cả,1,"Nhận diện chữ & giải mã",decoding,,
dec-4,text-choice,"/assets/audioTestVowel/cá.mp3","Chọn từ đúng theo âm thanh:",4,ca,cá,cà,cả,2,"Nhận diện chữ & giải mã",decoding,,
dec-5,text-choice,"/assets/audioTestVowel/cà.mp3","Chọn từ đúng theo âm thanh:",4,ca,cá,cà,cả,3,"Nhận diện chữ & giải mã",decoding,,
dec-6,text-choice,"/assets/audioTestVowel/cả.mp3","Chọn từ đúng theo âm thanh:",4,ca,cá,cà,cả,4,"Nhận diện chữ & giải mã",decoding,,
uf-1,image-choice,"/assets/audioTestVowel/khiAnChuoi.mp3","Chọn hình ảnh đúng theo câu:",3,"Khỉ ăn chuối","Mèo ăn cá","Chó ăn xương",,1,"Tốc độ hiểu",understanding-fluency,"/assets/image/testVowels/monkeyBanana.jpg|/assets/image/testVowels/catFish.jpg|/assets/image/testVowels/dogBone.jpg",
uf-2,image-choice,"/assets/audioTestVowel/meoAnCa.mp3","Chọn câu đang được phát âm:",3,"Khỉ ăn chuối","Mèo ăn cá","Chó ăn xương",,2,"Tốc độ hiểu",understanding-fluency,"/assets/image/testVowels/monkeyBanana.jpg|/assets/image/testVowels/catFish.jpg|/assets/image/testVowels/dogBone.jpg",
sw-1,drawing,"/assets/audioTestVowel/O.mp3","Vẽ lại chữ cái bạn nghe:",0,,,,,O,"Chính tả & viết",spelling-writing,,O
sw-2,drawing,"/assets/audioTestVowel/S.mp3","Vẽ lại chữ cái bạn nghe:",0,,,,,S,"Chính tả & viết",spelling-writing,,S
lc-1,language-recognition,"/assets/audioTestVowel/thichAnKem_vn.mp3","Đây có phải tiếng Việt không?",2,"Có, đây là tiếng Việt","Không, đây không phải tiếng Việt",,,1,"Hiểu và nhận dạng ngôn ngữ",language-comprehension,,
lc-2,language-recognition,"/assets/audioTestVowel/thichAnKem_ko.mp3.mp3","Đây có phải tiếng Việt không?",2,"Có, đây là tiếng Việt","Không, đây không phải tiếng Việt",,,2,"Hiểu và nhận dạng ngôn ngữ",language-comprehension,,
lc-3,audio-choice,"/assets/audioTestVowel/buoiTruaAnBuoiChua.mp3|/assets/audioTestVowel/buoiTruaAnBuoiChua.mp3","Hai câu này có giống nhau không?",2,"Giống nhau","Khác nhau",,,1,"Hiểu và nhận dạng ngôn ngữ",language-comprehension,,
lc-4,audio-choice,"/assets/audioTestVowel/buoiTruaAnBuoiChua.mp3|/assets/audioTestVowel/buoiTruaUongSuaChua.mp3","Hai câu này có giống nhau không?",2,"Giống nhau","Khác nhau",,,2,"Hiểu và nhận dạng ngôn ngữ",language-comprehension,,
lc-5,audio-choice,"/assets/audioTestVowel/buoiTruaUongSuaChua.mp3|/assets/audioTestVowel/buoiTruaUongSuaChua.mp3","Hai câu này có giống nhau không?",2,"Giống nhau","Khác nhau",,,1,"Hiểu và nhận dạng ngôn ngữ",language-comprehension,,
